#           k/h    P           
    0.16318E+01    0.22525E+02
    0.16647E+01    0.21471E+02
    0.16984E+01    0.20465E+02
    0.17327E+01    0.19504E+02
    0.17677E+01    0.18588E+02
    0.18034E+01    0.17713E+02
    0.18398E+01    0.16879E+02
    0.18770E+01    0.16083E+02
    0.19149E+01    0.15323E+02
    0.19536E+01    0.14598E+02
    0.19930E+01    0.13907E+02
    0.20333E+01    0.13247E+02
    0.20744E+01    0.12618E+02
    0.21163E+01    0.12018E+02
    0.21590E+01    0.11446E+02
    0.22026E+01    0.10901E+02
    0.22471E+01    0.10381E+02
    0.22925E+01    0.98847E+01
    0.23388E+01    0.94119E+01
    0.23861E+01    0.89612E+01
    0.24343E+01    0.85316E+01
    0.24835E+01    0.81221E+01
    0.25336E+01    0.77318E+01
    0.25848E+01    0.73598E+01
    0.26370E+01    0.70054E+01
    0.26903E+01    0.66676E+01
    0.27447E+01    0.63458E+01
    0.28001E+01    0.60391E+01
    0.28567E+01    0.57470E+01
    0.29144E+01    0.54687E+01
    0.29733E+01    0.52036E+01
    0.30333E+01    0.49511E+01
    0.30946E+01    0.47106E+01
    0.31571E+01    0.44815E+01
    0.32209E+01    0.42634E+01
    0.32860E+01    0.40556E+01
    0.33523E+01    0.38578E+01
    0.34201E+01    0.36695E+01
    0.34892E+01    0.34901E+01
    0.35596E+01    0.33194E+01
    0.36316E+01    0.31569E+01
    0.37049E+01    0.30021E+01
    0.37798E+01    0.28548E+01
    0.38561E+01    0.27147E+01
    0.39340E+01    0.25812E+01
    0.40135E+01    0.24542E+01
    0.40946E+01    0.23334E+01
    0.41773E+01    0.22184E+01
    0.42617E+01    0.21089E+01
    0.43478E+01    0.20048E+01
    0.44356E+01    0.19057E+01
    0.45252E+01    0.18115E+01
    0.46166E+01    0.17218E+01
    0.47099E+01    0.16365E+01
    0.48050E+01    0.15553E+01
    0.49021E+01    0.14781E+01
    0.50011E+01    0.14047E+01
    0.51021E+01    0.13349E+01
    0.52052E+01    0.12685E+01
    0.53104E+01    0.12053E+01
    0.54176E+01    0.11452E+01
    0.55271E+01    0.10881E+01
    0.56387E+01    0.10338E+01
    0.57526E+01    0.98217E+00
    0.58689E+01    0.93307E+00
    0.59874E+01    0.88638E+00
    0.61084E+01    0.84200E+00
    0.62318E+01    0.79981E+00
    0.63577E+01    0.75970E+00
    0.64861E+01    0.72158E+00
    0.66171E+01    0.68534E+00
    0.67508E+01    0.65089E+00
    0.68872E+01    0.61816E+00
    0.70263E+01    0.58704E+00
    0.71682E+01    0.55747E+00
    0.73130E+01    0.52938E+00
    0.74608E+01    0.50267E+00
    0.76115E+01    0.47730E+00
    0.77653E+01    0.45319E+00
    0.79221E+01    0.43029E+00
    0.80822E+01    0.40852E+00
    0.82454E+01    0.38785E+00
    0.84120E+01    0.36820E+00
    0.85819E+01    0.34954E+00
    0.87553E+01    0.33181E+00
    0.89322E+01    0.31497E+00
    0.91126E+01    0.29898E+00
    0.92967E+01    0.28379E+00
    0.94845E+01    0.26936E+00
    0.96761E+01    0.25565E+00
    0.98716E+01    0.24264E+00
    0.10071E+02    0.23027E+00
    0.10274E+02    0.21854E+00
    0.10482E+02    0.20739E+00
    0.10694E+02    0.19680E+00
    0.10910E+02    0.18675E+00
    0.11130E+02    0.17721E+00
    0.11355E+02    0.16815E+00
    0.11584E+02    0.15955E+00
    0.11818E+02    0.15138E+00
    0.12057E+02    0.14362E+00
    0.12301E+02    0.13626E+00
    0.12549E+02    0.12927E+00
    0.12803E+02    0.12264E+00
    0.13061E+02    0.11634E+00
    0.13325E+02    0.11037E+00
    0.13594E+02    0.10469E+00
    0.13869E+02    0.99310E-01
    0.14149E+02    0.94200E-01
    0.14435E+02    0.89350E-01
    0.14727E+02    0.84747E-01
    0.15024E+02    0.80379E-01
    0.15328E+02    0.76234E-01
    0.15637E+02    0.72300E-01
    0.15953E+02    0.68568E-01
    0.16275E+02    0.65026E-01
    0.16604E+02    0.61665E-01
    0.16940E+02    0.58477E-01
    0.17282E+02    0.55452E-01
    0.17631E+02    0.52581E-01
    0.17987E+02    0.49858E-01
    0.18351E+02    0.47275E-01
    0.18721E+02    0.44824E-01
    0.19099E+02    0.42499E-01
    0.19485E+02    0.40294E-01
    0.19879E+02    0.38202E-01
    0.20280E+02    0.36217E-01
    0.20690E+02    0.34335E-01
    0.21108E+02    0.32550E-01
    0.21535E+02    0.30856E-01
    0.21970E+02    0.29250E-01
    0.22413E+02    0.27727E-01
    0.22866E+02    0.26283E-01
    0.23328E+02    0.24913E-01
    0.23799E+02    0.23614E-01
    0.24280E+02    0.22382E-01
    0.24771E+02    0.21213E-01
    0.25271E+02    0.20106E-01
    0.25782E+02    0.19055E-01
    0.26302E+02    0.18059E-01
    0.26834E+02    0.17115E-01
    0.27376E+02    0.16219E-01
    0.27929E+02    0.15370E-01
    0.28493E+02    0.14566E-01
    0.29069E+02    0.13802E-01
    0.29656E+02    0.13079E-01
    0.30255E+02    0.12393E-01
