#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.207814E-01   0.114684E+08   0.114379E+08  -0.652026E+03  -0.652326E+03   0.000000E+00   0.114637E+08   0.114637E+08   0.114637E+08  -0.271778E+00   0.603018E+07   0.602993E+07   0.409830E+01
   0.214858E-01   0.112345E+08   0.112027E+08  -0.597518E+03  -0.597793E+03   0.000000E+00   0.112295E+08   0.112295E+08   0.112295E+08  -0.266227E+00   0.590702E+07   0.590675E+07   0.411612E+01
   0.222140E-01   0.109973E+08   0.109641E+08  -0.547165E+03  -0.547417E+03   0.000000E+00   0.109921E+08   0.109921E+08   0.109921E+08  -0.260598E+00   0.578212E+07   0.578184E+07   0.412724E+01
   0.229670E-01   0.107361E+08   0.107017E+08  -0.499707E+03  -0.499936E+03   0.000000E+00   0.107307E+08   0.107307E+08   0.107307E+08  -0.254401E+00   0.564463E+07   0.564434E+07   0.413386E+01
   0.237454E-01   0.104922E+08   0.104565E+08  -0.456846E+03  -0.457056E+03   0.000000E+00   0.104866E+08   0.104866E+08   0.104866E+08  -0.248614E+00   0.551622E+07   0.551593E+07   0.412999E+01
   0.245503E-01   0.102458E+08   0.102089E+08  -0.417337E+03  -0.417529E+03   0.000000E+00   0.102400E+08   0.102400E+08   0.102400E+08  -0.242769E+00   0.538654E+07   0.538623E+07   0.411769E+01
   0.253824E-01   0.999739E+07   0.995922E+07  -0.380944E+03  -0.381119E+03   0.000000E+00   0.999141E+07   0.999141E+07   0.999141E+07  -0.236874E+00   0.525576E+07   0.525544E+07   0.409640E+01
   0.262428E-01   0.974727E+07   0.970792E+07  -0.347449E+03  -0.347609E+03   0.000000E+00   0.974111E+07   0.974111E+07   0.974111E+07  -0.230940E+00   0.512409E+07   0.512377E+07   0.406556E+01
   0.271323E-01   0.949591E+07   0.945544E+07  -0.316649E+03  -0.316795E+03   0.000000E+00   0.948957E+07   0.948957E+07   0.948957E+07  -0.224977E+00   0.499178E+07   0.499145E+07   0.402463E+01
   0.280519E-01   0.925126E+07   0.920976E+07  -0.288587E+03  -0.288720E+03   0.000000E+00   0.924476E+07   0.924476E+07   0.924476E+07  -0.219173E+00   0.486300E+07   0.486267E+07   0.397225E+01
   0.290027E-01   0.899877E+07   0.895631E+07  -0.262598E+03  -0.262719E+03   0.000000E+00   0.899212E+07   0.899212E+07   0.899212E+07  -0.213183E+00   0.473011E+07   0.472977E+07   0.390977E+01
   0.299858E-01   0.874658E+07   0.870328E+07  -0.238770E+03  -0.238880E+03   0.000000E+00   0.873980E+07   0.873980E+07   0.873980E+07  -0.207201E+00   0.459738E+07   0.459704E+07   0.383591E+01
   0.310022E-01   0.849533E+07   0.845129E+07  -0.216948E+03  -0.217048E+03   0.000000E+00   0.848844E+07   0.848844E+07   0.848844E+07  -0.201242E+00   0.446516E+07   0.446481E+07   0.375039E+01
   0.320530E-01   0.824570E+07   0.820107E+07  -0.196986E+03  -0.197077E+03   0.000000E+00   0.823871E+07   0.823871E+07   0.823871E+07  -0.195322E+00   0.433380E+07   0.433345E+07   0.365303E+01
   0.331394E-01   0.799841E+07   0.795334E+07  -0.178750E+03  -0.178832E+03   0.000000E+00   0.799135E+07   0.799135E+07   0.799135E+07  -0.189457E+00   0.420368E+07   0.420333E+07   0.354375E+01
   0.342627E-01   0.775421E+07   0.770888E+07  -0.162112E+03  -0.162186E+03   0.000000E+00   0.774711E+07   0.774711E+07   0.774711E+07  -0.183667E+00   0.407521E+07   0.407486E+07   0.342265E+01
   0.354240E-01   0.751396E+07   0.746855E+07  -0.146954E+03  -0.147021E+03   0.000000E+00   0.750684E+07   0.750684E+07   0.750684E+07  -0.177971E+00   0.394882E+07   0.394847E+07   0.328986E+01
   0.366247E-01   0.727832E+07   0.723304E+07  -0.133161E+03  -0.133223E+03   0.000000E+00   0.727122E+07   0.727122E+07   0.727122E+07  -0.172385E+00   0.382488E+07   0.382454E+07   0.314595E+01
   0.378661E-01   0.704740E+07   0.700246E+07  -0.120618E+03  -0.120674E+03   0.000000E+00   0.704036E+07   0.704036E+07   0.704036E+07  -0.166911E+00   0.370344E+07   0.370310E+07   0.299156E+01
   0.391496E-01   0.682164E+07   0.677728E+07  -0.109223E+03  -0.109273E+03   0.000000E+00   0.681470E+07   0.681470E+07   0.681470E+07  -0.161561E+00   0.358473E+07   0.358440E+07   0.282755E+01
   0.404766E-01   0.660277E+07   0.655921E+07  -0.988987E+02  -0.989442E+02   0.000000E+00   0.659595E+07   0.659595E+07   0.659595E+07  -0.156375E+00   0.346967E+07   0.346935E+07   0.265488E+01
   0.418485E-01   0.639164E+07   0.634913E+07  -0.895612E+02  -0.896024E+02   0.000000E+00   0.638498E+07   0.638498E+07   0.638498E+07  -0.151374E+00   0.335869E+07   0.335838E+07   0.247482E+01
   0.432670E-01   0.618896E+07   0.614773E+07  -0.811279E+02  -0.811653E+02   0.000000E+00   0.618250E+07   0.618250E+07   0.618250E+07  -0.146573E+00   0.325218E+07   0.325188E+07   0.228894E+01
   0.447335E-01   0.599521E+07   0.595550E+07  -0.735200E+02  -0.735538E+02   0.000000E+00   0.598899E+07   0.598899E+07   0.598899E+07  -0.141986E+00   0.315039E+07   0.315010E+07   0.209901E+01
   0.462498E-01   0.581065E+07   0.577268E+07  -0.666618E+02  -0.666925E+02   0.000000E+00   0.580470E+07   0.580470E+07   0.580470E+07  -0.137617E+00   0.305344E+07   0.305318E+07   0.190707E+01
   0.478174E-01   0.563525E+07   0.559921E+07  -0.604811E+02  -0.605090E+02   0.000000E+00   0.562961E+07   0.562961E+07   0.562960E+07  -0.133466E+00   0.296134E+07   0.296109E+07   0.171537E+01
   0.494382E-01   0.546871E+07   0.543479E+07  -0.549097E+02  -0.549350E+02   0.000000E+00   0.546340E+07   0.546340E+07   0.546340E+07  -0.129525E+00   0.287390E+07   0.287368E+07   0.152633E+01
   0.511139E-01   0.531051E+07   0.527884E+07  -0.498839E+02  -0.499069E+02   0.000000E+00   0.530555E+07   0.530555E+07   0.530555E+07  -0.125783E+00   0.279087E+07   0.279066E+07   0.134251E+01
   0.528464E-01   0.515993E+07   0.513061E+07  -0.453451E+02  -0.453660E+02   0.000000E+00   0.515534E+07   0.515534E+07   0.515534E+07  -0.122222E+00   0.271185E+07   0.271167E+07   0.116649E+01
   0.546377E-01   0.501616E+07   0.498924E+07  -0.412404E+02  -0.412594E+02   0.000000E+00   0.501195E+07   0.501195E+07   0.501195E+07  -0.118822E+00   0.263642E+07   0.263626E+07   0.100092E+01
   0.564896E-01   0.487831E+07   0.485379E+07  -0.375221E+02  -0.375393E+02   0.000000E+00   0.487447E+07   0.487447E+07   0.487447E+07  -0.115563E+00   0.256410E+07   0.256396E+07   0.848249E+00
   0.584043E-01   0.474637E+07   0.472418E+07  -0.341544E+02  -0.341701E+02   0.000000E+00   0.474289E+07   0.474289E+07   0.474289E+07  -0.112444E+00   0.249489E+07   0.249476E+07   0.710757E+00
   0.611572E-01   0.457455E+07   0.455535E+07  -0.300231E+02  -0.300369E+02   0.000000E+00   0.457154E+07   0.457154E+07   0.457154E+07  -0.108381E+00   0.240475E+07   0.240465E+07   0.548955E+00
   0.639101E-01   0.441077E+07   0.439406E+07  -0.265095E+02  -0.265217E+02   0.000000E+00   0.440815E+07   0.440815E+07   0.440815E+07  -0.104508E+00   0.231880E+07   0.231872E+07   0.428519E+00
   0.666629E-01   0.425383E+07   0.423904E+07  -0.234993E+02  -0.235101E+02   0.000000E+00   0.425151E+07   0.425151E+07   0.425151E+07  -0.100794E+00   0.223640E+07   0.223633E+07   0.345800E+00
   0.694158E-01   0.410043E+07   0.408698E+07  -0.208915E+02  -0.209011E+02   0.000000E+00   0.409833E+07   0.409833E+07   0.409833E+07  -0.971623E-01   0.215582E+07   0.215576E+07   0.296049E+00
   0.721687E-01   0.394843E+07   0.393575E+07  -0.186118E+02  -0.186203E+02   0.000000E+00   0.394645E+07   0.394645E+07   0.394645E+07  -0.935615E-01   0.207593E+07   0.207587E+07   0.273603E+00
   0.749215E-01   0.379681E+07   0.378440E+07  -0.166060E+02  -0.166136E+02   0.000000E+00   0.379487E+07   0.379487E+07   0.379487E+07  -0.899680E-01   0.199620E+07   0.199613E+07   0.272313E+00
   0.776744E-01   0.364564E+07   0.363307E+07  -0.148343E+02  -0.148411E+02   0.000000E+00   0.364367E+07   0.364367E+07   0.364367E+07  -0.863834E-01   0.191666E+07   0.191660E+07   0.285933E+00
   0.804273E-01   0.349577E+07   0.348273E+07  -0.132669E+02  -0.132730E+02   0.000000E+00   0.349373E+07   0.349373E+07   0.349373E+07  -0.828286E-01   0.183779E+07   0.183772E+07   0.308510E+00
   0.831801E-01   0.334856E+07   0.333484E+07  -0.118804E+02  -0.118859E+02   0.000000E+00   0.334641E+07   0.334641E+07   0.334641E+07  -0.793359E-01   0.176030E+07   0.176021E+07   0.334678E+00
   0.859330E-01   0.320554E+07   0.319107E+07  -0.106554E+02  -0.106603E+02   0.000000E+00   0.320327E+07   0.320327E+07   0.320327E+07  -0.759425E-01   0.168501E+07   0.168491E+07   0.359895E+00
   0.886858E-01   0.306826E+07   0.305306E+07  -0.957519E+01  -0.957960E+01   0.000000E+00   0.306588E+07   0.306588E+07   0.306588E+07  -0.726852E-01   0.161274E+07   0.161264E+07   0.380593E+00
   0.914387E-01   0.293815E+07   0.292233E+07  -0.862488E+01  -0.862884E+01   0.000000E+00   0.293567E+07   0.293567E+07   0.293567E+07  -0.695983E-01   0.154424E+07   0.154414E+07   0.394242E+00
   0.941916E-01   0.281646E+07   0.280021E+07  -0.779106E+01  -0.779464E+01   0.000000E+00   0.281391E+07   0.281391E+07   0.281391E+07  -0.667117E-01   0.148020E+07   0.148009E+07   0.399342E+00
   0.969444E-01   0.270422E+07   0.268778E+07  -0.706146E+01  -0.706471E+01   0.000000E+00   0.270164E+07   0.270164E+07   0.270164E+07  -0.640500E-01   0.142114E+07   0.142103E+07   0.395349E+00
   0.996973E-01   0.260211E+07   0.258575E+07  -0.642460E+01  -0.642756E+01   0.000000E+00   0.259955E+07   0.259955E+07   0.259955E+07  -0.616296E-01   0.136744E+07   0.136733E+07   0.382554E+00
   0.102450E+00   0.251040E+07   0.249438E+07  -0.586947E+01  -0.587217E+01   0.000000E+00   0.250789E+07   0.250789E+07   0.250789E+07  -0.594566E-01   0.131923E+07   0.131911E+07   0.361936E+00
   0.105203E+00   0.242884E+07   0.241340E+07  -0.538547E+01  -0.538795E+01   0.000000E+00   0.242642E+07   0.242642E+07   0.242642E+07  -0.575251E-01   0.127637E+07   0.127626E+07   0.334981E+00
   0.107956E+00   0.235669E+07   0.234205E+07  -0.496247E+01  -0.496476E+01   0.000000E+00   0.235439E+07   0.235439E+07   0.235439E+07  -0.558175E-01   0.123848E+07   0.123838E+07   0.303506E+00
   0.110709E+00   0.229285E+07   0.227917E+07  -0.459106E+01  -0.459318E+01   0.000000E+00   0.229070E+07   0.229070E+07   0.229070E+07  -0.543075E-01   0.120498E+07   0.120489E+07   0.269478E+00
   0.113462E+00   0.223598E+07   0.222336E+07  -0.426275E+01  -0.426471E+01   0.000000E+00   0.223400E+07   0.223400E+07   0.223400E+07  -0.529632E-01   0.117515E+07   0.117507E+07   0.234849E+00
   0.116214E+00   0.218465E+07   0.217314E+07  -0.397011E+01  -0.397194E+01   0.000000E+00   0.218285E+07   0.218285E+07   0.218285E+07  -0.517504E-01   0.114824E+07   0.114817E+07   0.201415E+00
   0.118967E+00   0.213744E+07   0.212700E+07  -0.370681E+01  -0.370852E+01   0.000000E+00   0.213580E+07   0.213580E+07   0.213580E+07  -0.506351E-01   0.112349E+07   0.112343E+07   0.170706E+00
   0.121720E+00   0.209295E+07   0.208351E+07  -0.346751E+01  -0.346910E+01   0.000000E+00   0.209147E+07   0.209147E+07   0.209147E+07  -0.495841E-01   0.110017E+07   0.110012E+07   0.143912E+00
   0.124473E+00   0.204988E+07   0.204132E+07  -0.324773E+01  -0.324923E+01   0.000000E+00   0.204854E+07   0.204854E+07   0.204854E+07  -0.485663E-01   0.107758E+07   0.107754E+07   0.121835E+00
   0.127226E+00   0.200704E+07   0.199920E+07  -0.304385E+01  -0.304525E+01   0.000000E+00   0.200581E+07   0.200581E+07   0.200581E+07  -0.475533E-01   0.105511E+07   0.105507E+07   0.104888E+00
   0.129979E+00   0.196346E+07   0.195617E+07  -0.285304E+01  -0.285435E+01   0.000000E+00   0.196232E+07   0.196232E+07   0.196232E+07  -0.465223E-01   0.103223E+07   0.103219E+07   0.931054E-01
   0.132732E+00   0.191849E+07   0.191156E+07  -0.267329E+01  -0.267452E+01   0.000000E+00   0.191740E+07   0.191740E+07   0.191740E+07  -0.454574E-01   0.100860E+07   0.100857E+07   0.861858E-01
   0.135485E+00   0.187184E+07   0.186510E+07  -0.250338E+01  -0.250453E+01   0.000000E+00   0.187079E+07   0.187079E+07   0.187079E+07  -0.443522E-01   0.984080E+06   0.984046E+06   0.835529E-01
   0.138237E+00   0.182364E+07   0.181692E+07  -0.234272E+01  -0.234380E+01   0.000000E+00   0.182258E+07   0.182258E+07   0.182258E+07  -0.432094E-01   0.958725E+06   0.958690E+06   0.844270E-01
   0.140990E+00   0.177430E+07   0.176749E+07  -0.219116E+01  -0.219217E+01   0.000000E+00   0.177323E+07   0.177323E+07   0.177323E+07  -0.420395E-01   0.932767E+06   0.932730E+06   0.879032E-01
   0.143743E+00   0.172447E+07   0.171745E+07  -0.204877E+01  -0.204971E+01   0.000000E+00   0.172337E+07   0.172337E+07   0.172337E+07  -0.408572E-01   0.906536E+06   0.906496E+06   0.930292E-01
   0.146496E+00   0.167482E+07   0.166755E+07  -0.191564E+01  -0.191652E+01   0.000000E+00   0.167368E+07   0.167368E+07   0.167368E+07  -0.396793E-01   0.880401E+06   0.880357E+06   0.988776E-01
   0.149249E+00   0.162603E+07   0.161848E+07  -0.179178E+01  -0.179261E+01   0.000000E+00   0.162484E+07   0.162484E+07   0.162484E+07  -0.385214E-01   0.854711E+06   0.854664E+06   0.104605E+00
   0.152002E+00   0.157867E+07   0.157086E+07  -0.167709E+01  -0.167787E+01   0.000000E+00   0.157745E+07   0.157745E+07   0.157745E+07  -0.373978E-01   0.829781E+06   0.829731E+06   0.109501E+00
   0.154755E+00   0.153328E+07   0.152524E+07  -0.157138E+01  -0.157210E+01   0.000000E+00   0.153202E+07   0.153202E+07   0.153202E+07  -0.363209E-01   0.805887E+06   0.805834E+06   0.113016E+00
